"Location","Region","Area","Latitude","Longitude"
"Between Saginaw and Security Bays","Alaska","SEA",56.874,-134.349
"Grassy Reef, Keku Straight","Alaska","SEA",56.94928,-134.0578
"Monolith Keku Straight","Alaska","SEA",56.939,-134.15793
"Mouth of Security Bay","Alaska","SEA",56.883,-134.368383
"Payne Island","Alaska","SEA",56.96344,-134.12401
"South of Point Cornwallis","Alaska","SEA",56.938,-134.226
NA,NA,"Ealeut",NA,NA
"ne afognak",NA,"NAFOG",NA,NA
"sw shuyak",NA,"NAFOG",NA,NA
"nw afognak",NA,"NAFOG",NA,NA
"w kodiak",NA,"WKOD",NA,NA
"chiniak",NA,"EKOD",NA,NA
"s afognak",NA,"NKOD",NA,NA
"deranof",NA,"NKOD",NA,NA
"Kodiak - EVOS area",NA,NA,NA,NA
"Adak",NA,NA,NA,NA
"Amchitka",NA,NA,NA,NA
"Kenai P.",NA,NA,NA,NA
"PWS",NA,NA,NA,NA
"Shemya",NA,NA,NA,NA
"Attu",NA,NA,NA,NA
"Aleutians",NA,NA,NA,NA
NA,NA,NA,NA,NA
